ds,y
2015-01,46147
2015-02,25956
2015-03,196718
2015-04,26421
2015-05,147057
2015-06,230675
2015-07,197353
2015-08,145059
2015-09,63670
2015-10,19872
2015-11,46870
2015-12,49939
2016-01,79421
2016-02,97858
2016-03,221779
2016-04,158215
2016-05,274406
2016-06,253005
2016-07,136794
2016-08,143960
2016-09,104777
2016-10,52016
2016-11,35321
2016-12,37397
2017-01,162130
2017-02,58914
2017-03,297707
2017-04,227063
2017-05,319286
2017-06,240749
2017-07,128998
2017-08,61692
2017-09,30215
2017-10,20853
2017-11,33397
2017-12,59833
2018-01,94081
2018-02,51954
2018-03,176394
2018-04,153697
2018-05,177447
2018-06,106786
2018-07,64316
2018-08,47744
2018-09,28153
2018-10,16483
2018-11,15594
2018-12,11158
